Target;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2
чуть не;я;Sg;M;1;зарыдать;0;0;Past;0;0;0
чуть не;я;Sg;M;1;крикнуть;1;0;Past;1;0;0
чуть не;Галина Павловна;Sg;F;1;расплакаться;0;0;Past;0;0;1
чуть не;я;Sg;M;1;сжечь;0;0;Past;1;0;0
чуть не;они;Pl;None;1;умереть;0;0;Past;0;0;0
чуть не;[я];Sg;M;1;опрокинуть;0;0;Past;1;0;0
чуть не;0;Sg;M;1;зарезать;0;0;Past;1;0;0
чуть не;я;Sg;M;1;разбогатеть;0;0;Past;0;0;0
чуть не;я;Sg;M;1;застонать;1;0;Past;0;0;0
чуть не;я;Sg;M;1;загреметь;0;0;Past;0;0;0
чуть не;я;Sg;M;1;расплакаться;0;0;Past;0;0;0
чуть не;я;Sg;M;1;забыть;0;0;Past;0;0;0
чуть не;я;Sg;M;1;плакать;0;0;Past;0;0;0
чуть не;Ёжик;Sg;M;1;свалиться;0;0;Past;2;0;0
чуть не;он;Sg;M;1;заплакать;0;0;Past;0;0;0
чуть не;он;Sg;M;1;плакать;0;2;Pres;0;0;0
чуть не;он;Sg;M;1;выронить;0;0;Past;1;0;0
чуть не;он;Sg;M;1;заплакать;0;0;Past;1;0;0
чуть не;Зыбин;Sg;M;1;выронить;0;0;Past;1;0;0
чуть не;Зыбин;Sg;M;1;вскрикнуть;1;0;Past;0;0;0
чуть не;он;Sg;M;1;добавить;0;0;Past;1;0;0
чуть не;0;Pl;None;1;усадить;0;0;Past;1;0;0
чуть не;мама;Sg;F;1;умереть;0;0;Past;0;0;0
чуть не;Её Величество;Sg;N;1;свалиться;0;0;Past;2;0;0
чуть не;сам;Sg;M;1;сесть;0;0;Past;0;0;0
чуть не;Глебов;Sg;M;1;умереть;0;0;Past;0;0;0
чуть не;Васюта;Sg;F;1;попасться;0;0;Past;2;0;0
чуть не;она и Куник;Pl;None;1;сойти с ума;0;0;Past;3;0;0
чуть не;старик;Sg;M;1;закричать;1;0;Past;1;0;0
чуть не;Егор;Sg;M;1;заорать;1;0;Past;1;0;0
чуть не;Люба;Sg;F;1;плакать;1;0;Past;1;0;0
чуть не;проводник;Sg;M;1;захлебнуться;0;0;Past;1;0;0
чуть не;я;Sg;M;1;заплакать;0;0;Past;0;0;0
чуть не;Димка;Sg;M;1;расплакаться;0;0;Past;0;0;0
чуть не;Кузька-то;Sg;M;1;плакать;0;0;Past;0;1;0
чуть не;[Кузька];Sg;M;1;плакать;0;0;Past;0;1;0
чуть не;он;Sg;M;1;плакать;1;0;Past;0;0;0
чуть не;[я];Sg;M;1;поплатиться;0;0;Past;2;0;0
чуть не;я;Sg;M;1;усмехнуться;0;0;Past;0;0;0
чуть не;он;Sg;M;1;прижать;0;0;Past;1;0;0
чуть не;я;Sg;M;1;подпрыгнуть;0;0;Past;0;0;0
чуть не;[он];Sg;M;1;слечь;0;0;Past;0;0;0
чуть не;они;Pl;None;1;загрызть;0;0;Past;1;0;0
чуть не;десятиклассницы;Pl;None;1;сшибать;0;0;Past;1;0;0
