,Target,Subject,Number,Gender,Animacy,Verb,Verb_of_speech,Ger,Verb_time,Object,Protiv1,Protiv2
193,1,2,1,5,1,185,0,0,0,1,0,0
194,1,137,2,2,1,14,0,0,0,1,0,0
195,1,137,2,2,1,163,1,0,0,0,0,1
196,1,92,1,5,1,93,1,0,0,0,0,0
197,1,101,2,2,1,173,0,0,0,0,0,0
198,1,137,2,2,1,147,0,0,0,0,0,0
199,1,102,2,1,1,196,0,0,0,3,0,0
200,1,2,2,3,0,185,0,0,0,1,0,0
201,1,2,1,5,1,73,0,0,0,1,0,0
202,1,2,1,5,1,73,0,0,0,1,0,0
203,1,137,2,2,1,18,0,0,0,1,0,0
204,1,97,2,1,1,159,0,0,0,0,0,0
205,1,132,2,1,1,183,0,0,0,1,0,0
206,1,2,2,1,1,188,0,0,0,2,0,1
207,1,101,2,2,1,156,0,0,0,2,0,0
208,1,102,2,1,1,53,0,0,0,2,1,0
209,1,107,2,2,1,154,0,2,0,0,0,0
210,1,11,2,2,1,157,0,2,0,2,0,0
211,1,11,2,2,1,178,0,0,0,2,1,0
212,1,2,1,5,1,185,0,0,0,1,0,0
213,1,53,2,2,1,72,0,0,0,0,0,0
214,1,101,2,2,1,107,0,0,0,0,0,0
215,1,101,2,2,1,93,0,0,0,0,0,0
216,1,6,2,2,1,93,1,0,0,1,0,0
217,1,59,1,5,1,172,0,0,0,0,0,0
218,1,137,2,2,1,31,0,0,0,0,0,0
219,1,137,2,2,1,44,0,0,0,0,0,0
220,1,137,2,2,1,58,1,0,0,1,0,0
221,1,20,2,1,1,147,0,0,0,0,0,1
222,1,137,2,2,1,162,0,0,0,1,0,0
223,1,104,1,5,1,193,0,0,0,0,0,0
224,1,8,2,2,1,78,0,0,0,1,0,0
225,1,2,2,2,1,43,0,0,0,1,0,0
226,1,137,2,2,1,141,0,0,0,0,0,0
227,1,137,2,2,1,47,1,0,0,0,0,0
228,1,137,2,2,1,28,0,0,0,0,0,0
229,1,137,2,2,1,147,0,0,0,0,0,0
230,1,137,2,2,1,26,0,0,0,0,0,0
231,1,137,2,2,1,93,0,0,0,0,0,0
232,1,9,2,2,1,157,0,0,0,2,0,0
233,1,101,2,2,1,40,0,0,0,0,0,0
234,1,101,2,2,1,93,0,2,1,0,0,0
235,1,101,2,2,1,16,0,0,0,1,0,0
236,1,101,2,2,1,40,0,0,0,1,0,0
237,1,32,2,2,1,16,0,0,0,1,0,0
238,1,32,2,2,1,7,1,0,0,0,0,0
239,1,101,2,2,1,22,0,0,0,1,0,0
240,1,2,1,5,1,198,0,0,0,1,0,0
241,1,90,2,1,1,193,0,0,0,0,0,0
242,1,31,2,3,1,157,0,0,0,2,0,0
243,1,120,2,2,1,161,0,0,0,0,0,0
244,1,24,2,2,1,193,0,0,0,0,0,0
245,1,16,2,1,1,112,0,0,0,2,0,0
246,1,103,1,5,1,168,0,0,0,3,0,0
247,1,127,2,2,1,34,1,0,0,1,0,0
248,1,28,2,2,1,38,1,0,0,1,0,0
249,1,37,2,1,1,93,1,0,0,1,0,0
250,1,115,2,2,1,50,0,0,0,1,0,0
251,1,137,2,2,1,40,0,0,0,0,0,0
252,1,26,2,2,1,147,0,0,0,0,0,0
253,1,35,2,2,1,93,0,0,0,0,1,0
254,1,4,2,2,1,93,0,0,0,0,1,0
255,1,101,2,2,1,93,1,0,0,0,0,0
256,1,8,2,2,1,114,0,0,0,2,0,0
257,1,137,2,2,1,199,0,0,0,0,0,0
258,1,101,2,2,1,124,0,0,0,1,0,0
259,1,137,2,2,1,102,0,0,0,0,0,0
260,1,6,2,2,1,165,0,0,0,0,0,0
261,1,104,1,5,1,29,0,0,0,1,0,0
262,1,66,1,5,1,182,0,0,0,1,0,0
263,1,38,2,2,1,182,0,2,1,1,0,0
264,1,2,2,3,0,179,0,0,0,1,0,0
265,1,2,2,2,2,155,0,0,0,0,0,0
266,1,2,1,5,1,17,0,0,0,1,0,0
267,1,101,2,2,1,157,0,0,0,0,1,0
268,1,70,2,2,1,93,0,2,1,0,0,0
269,1,94,1,5,1,127,0,0,0,1,1,0
270,1,137,2,2,1,113,0,0,0,0,0,0
271,1,101,2,2,1,32,0,0,0,2,0,0
272,1,101,2,2,1,153,0,0,0,1,0,0
273,1,101,2,2,1,139,0,0,0,2,0,0
274,1,137,2,2,1,106,0,0,0,2,0,1
275,1,137,2,2,1,153,0,0,0,0,0,0
276,1,2,2,2,1,195,0,0,0,0,0,1
277,1,2,2,3,0,15,0,0,0,2,0,0
278,1,118,2,1,1,57,0,2,0,1,0,0
279,1,137,2,2,1,140,0,0,0,1,0,0
280,1,137,2,2,1,180,0,0,0,2,0,0
281,1,101,2,2,1,93,0,0,0,0,0,0
282,1,52,2,1,1,104,0,0,0,0,0,0
283,1,101,2,2,1,59,1,2,1,0,0,0
284,1,94,1,5,1,42,0,0,0,1,0,0
285,1,137,2,1,1,45,0,0,0,0,1,0
286,1,94,1,5,1,107,0,0,0,0,0,0
287,1,117,1,5,1,9,0,2,0,0,0,0
288,1,137,2,2,1,201,0,0,0,0,0,0
289,1,42,2,1,1,100,0,0,0,0,0,0
290,1,94,1,5,1,103,0,0,0,0,1,0
291,1,102,2,1,1,93,0,2,1,0,0,0
292,1,21,2,1,1,93,0,0,0,0,0,0
293,1,2,2,3,0,10,0,0,0,1,0,0
294,1,137,2,2,1,40,0,0,0,0,0,0
295,1,64,2,1,0,128,0,0,0,1,0,0
296,1,137,2,2,1,175,0,0,0,1,0,0
297,1,8,2,2,1,176,0,0,0,0,0,0
298,1,39,2,2,1,107,0,0,0,0,0,1
299,1,8,2,2,1,26,0,0,0,1,0,0
