;# Corpus: Araneum Russicum Minus (Russian, 15.02) 120 M;;;;;frame;число;падеж;arg0 word;arg0 gram;arg0 anim;arg modifier;arg1 word;arg1 gram;rel;rel gram;construction;;arg2 word;arg2 gram;;;;;;;;;;;;;
32;knigi.netzah.org;"Окрестности Иерусалима были теперь на двадцать километров в окружности пусты и голы, над ними исполнилось слово Писания: ""Гнев Ягве излился на это < место >, на люден, на скот, и деревья, и поля, и плоды земли"" (*149).";;;;2;Sg;на + Acc;гнев;Nom, Sg;inan;;;;излился;active;излиться на место;;;;;;;;;;;;;;;;
33;maxpark.com;А Россия им до того < места >, где нет мозгов.;;;;3;Sg;до + Gen;Россия;Nom, Sg;inan;того;;;;;X-Nom Y-Dat до (Adj) места;;где нет мозго;;;;;;;;;;;;;;
34;kavkaz.mk.ru;?Пришлют на мое < место > своего человека, и тот за два-три года разорит хозяйство.;;;;5, 6;Sg;на + Acc;;;;моё;;;пришлют;active;на Х-Gen место;;;;;;;;;;;;;;;;
35;philanthropy.ru;Муковисцидоз не мешает им расти и совершенствоваться, оттачивать мастерство в любимом деле и занимать в жизни именно свое < место >.;;;;10?;Sg;Acc;муковисцидоз;;;своё;;;не мешает занимать;active;занимать своё место10;;в жизни;в + Loc;;;;;;;;;;;;;
36;cherkesk.bezformata.ru;Участники прокремлёвских движений вели контрагитацию, а < местами > провоцировали столкновения.;;;;11;Pl;Ins;участники прокремлёвских движений;Nom, Pl;anim;;;;провоцировали;active;делать X местами;;;;;;;;;;;;;;;;
37;sochi.rabota.ru;Просто очень сильно раздражает, когда приглашают на собеседование с руководителем, оного на < месте > нет, только секретарь, в любом случае, об этом предупреждать надо.;;;;?;Sg;на + Loc;?оного;Gen, Sg;(anim);;;;нет;?;X нет на месте / быть на месте;;;;;;;;;;;;;;;;
38;travel.gerodot.ru;Новый мост построен на том же < месте >, где был первый, римских времен.;;;;2;Sg;на + Loc;новый мост;Nom, Sg;inan;том же;;;построен;passive;на том же месте, где/что;;;;;;;;;;;;;;;;
39;royalbeauty.ru;Косметологи и врачи, чьим < местом > работы является салон красоты на Большой Академическая , обучаются и проходят стажировку во многих странах ? Франции, России, Италии и Эстонии.;;;;6?;Sg;Ins;салон красоты на Большой Академическая;Nom, Sg;inan;чьим;;;является;active?;являться местом Х-а (работы);;работы;Gen;;;;;;;;;;;;;
40;avtoprof.ru;Согласно закона делать такие запросы не ваша обязанность, а врачей по < месту > регистрации.;;;;?;Sg;по + Dat;;;;;;;;;по месту Х-Gen;;регистрации;Gen;;;;;;;;;;;;;
41;nitro.ru;Если мобильник чада включен, родители могут зайти на сайт компании и, введя специальный код, увидеть карту города, на которой выделено < место >, где ребёнок находится в данный момент.;;;;?точка;Sg;Nom/Acc;;;;;;;выделено;passive;место выделено (отмечено);;;;;;;;;;;;;;;;
42;vserusskie.ru;Подлинно научный подход к христианской вере в Воскресение Христово состоит вовсе не в том, чтобы с ходу отвергнуть его реальность, как это имеет < место >, скажем, в марксистской философии (что, кстати говоря, нашло отражение в романе М.Булгакова ?Мастер и Маргарита?), а в том, чтобы установить меру его закономерности.;;;;?;Sg;(Acc);это;Nom, Sg;;;;;имеет;active;иметь место;;;;;;;;;;;;;;;;
43;nohchalla.com;Крупные камни, иногда весом до нескольких тонн, подвозили к < месту > строительства с помощью быков на специальных санях.;;;;?точка;Sg;к + Dat;;;;;;;подвозили;active;под-V к месту;;;;;;;;;;;;;;;;
44;mybooka.com;Легкое остроумное повествование Галины Куликовой заканчивается на самом интересном < месте >, когда читатель уже совсем сближается с милой Врушечкой.;;;;7;Sg;на + Loc;повествование;Nom, Sg;inan;самом интересном;;;заканчивается;active;на самом интересном месте;;;;;;;;;;;;;;;;
45;myotpusk.ru;Многие туристы именно экзотический Таиланд выбирают < местом > для своего долгожданного отдыха.;;;;2;Sg;Ins;многие туристы;Nom, Pl;anim;;;;выбирают;;выбрать/сделать местом для X-Gen;;отдыха;для + Gen;;место ;;;;;;;;;;;
46;tomsk.ru;"Я приобрел квартиру в хрущевке, решил убрать перегородку м/у комнатой и кухней,и сделать новую но на 30см.дальше в сторону комнаты.Сделал поект,экспертизы,подал документы в администрацию, но получил отказ.Мотевированный ""Постановлением проавительства РФ""(где сказано,что не разрешается размещение кухни над жилыми комнатами),но я не перенашу кухню и в пректе отражено,что все коммуникации остаются на < месте >,какие у меня шансы опротистовать решение в суде или предется переделывать проект?";;;;?точка;Sg;на + Loc;все коммуникации;Nom, Pl;inan;;;;остаются;;оставаться на (Adj) месте;;;;1;пространство, занятое кем-либо/чем либо;;;;;;;;;;;
47;stroi-tm.ru;<Место >, где можно укрыться от дождя и солнца и полюбоваться на окружающую природу, ведь это заветная мечта многих владельцев приусадебных участков.;;;;?точка;Sg;Nom;;;;;;;это мечта;;;;где можно укрыться;;2;участок на земной поверхности, местности;;;;;;;;;;;
48;pereplanirovkamos.ru;"Шумозащитный дом производстваДСК-4 и АО ""Моспромстроиматериалов"" предназначен для строительства на шумных магистралях города и в < местах > повышенного шума от других источников, например, промышленных предприятии, при ориентации лестничных клеток на источник шума.";;;;2;Pl;в + Loc;строительство;для + Gen;inan;;;;;;в (Adj) местах;;повышенного шума;Gen;3;часть какой-то поверхности или тела (например, место на лице/теле/столе) - не обязательно занятое кем-либо/чем-либо;;;;;;;;;;;
49;webbug.ru;Продавая < место > под рекламу на своем блоге, вы наверняка знаете, что наибольшую ценность для рекламодателей представляет количество просмотров страницы или ?впечатление?.;;;;?точка;Sg;под + Acc;;;;;;;продавая;active;место под X-Acc;;под рекламу;под + Acc;4;помещение, пространство, предназначенное для временного пребывания кого-то одного (место в автобусе, место в отеле);;;;;;;;;;;
50;holy-transfiguration.org;Другого цивилизованного < места >, кроме указанных городов адамитов: Эриду, Ур, Лагаш и Урук, на земле просто не существовало.;;;;?точка;Sg;Gen;;;;другого цивилизованного места;;;не существовало;;не существовало/ нет / не было места;;;;5;роль, отведённая кому-либо, чему-либов какой-либо деятельности, а также занимаемое положение;;;;;;;;;;;
51;5da.ru;<Места > отлова алкоголиков: они собираются в пивняках, обычно небольшими стаями, чаще всего по трое.;;;;2;Sg;Nom;;;;;;;;;места + Gen;;отлова алкоголиков;Gen + Gen;6;должность, служба;;;;;;;;;;;
52;rodon.org;На самом деле судьбы российских олигархов и их капиталов в этой истории занимают десятое < место >.;;;;12;Sg;Acc;судьбы;Nom, Pl;inan;десятое;;;занимают;active;занимать (Adj) место12;;;;7;какая-то определённая часть, отдельный момент книги / текста / повествования;;;;;;;;;;;
53;wwoman.net;Затем она вставляется на < место > и, после подсоединения аккумулятора, можно попытаться запустить ПК.;;;;?точка;Sg;на + Acc;она;Nom, Sg;;;;;вставляется;;<поместить> на место;;;;8;(pl) периферийные организации и/или учреждения, в противовес центру / головному офису;;;;;;;;;;;
54;mos-edu.ru;Великий Князь поставил икону на ее < место >, пал ниц пред ракою Св.;;;;?своё место;Sg;на + Acc;Князь;Nom, Sg;anim;её;;;поставил;;поставить Х-Acc на (его) место1;;;;9;отдельная вещь багажа, груза;;;;;;;;;;;
55;pereplet.ru;В двадцать первом столетии < места > для галковских нет.;;;;10;Sg;Gen;;;;;для галковских;для + Gen;нет;;нет места для X-Gen;;;;10;(нескл, чаще с отрицанием) подобает, уместно находиться где-либо;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
