Left context;Center;Punct;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2;Right context;Full context;;;;;;;;Birthday;Created;Sphere;Type;Topic;Publ_year
" чужих глазах; однажды он даже "; чуть ;  ;он;Sg;M;1;швырнуть;0;0;Past;1;но;0;было не швырнул одну из ;" Юаким держался, но они грозились вылезти наружу пьяными откровениями, выскользнуть мимолетным сочувствием в чужих глазах; однажды он даже чуть было не швырнул одну из них горстью песка в коллегу в ерундовом, но горячем споре.  [Анастасия Цветкова. Про тайны // «Сибирские огни», 2012] [омонимия не снята]";;;;;;;;1984 ;2012 ;художественная ;рассказ ; ;2012 
   Печигин ; чуть ;  ;Печигин;Sg;M;1;спросить;1;0;Past;0;0;0;было не спросил, за какую ;  Печигин чуть было не спросил, за какую еще книгу года, ? так далеко были от него сейчас его старые стихи.  [Евгений Чижов. Перевод с подстрочника (2012)] [омонимия не снята];;;;;;;;1966 ;2012 ;художественная ;роман ; ;2013 
 того, что в день пикета ; чуть ;  ;[он];Sg;M;1;отказаться выпускать;1;0;Past;0;0;0;было не отказался выпускать из ; Вплоть до того, что в день пикета чуть было не отказался выпускать из дома.  [Анастасия Ермакова, Василий Корецкий. О детях и деньгах // «Русский репортер», № 3 (181), 27 января 2011, 2011] [омонимия не снята];;;;;;;; ;2011 ;публицистика ,  нехудожественная ;интервью ;социология, бизнес, коммерция, экономика, финансы, частная жизнь ;2011 
   И я ; чуть ;  ;я;Sg;M;1;попасть;0;0;Past;2;0;0;было не попал на тот ;  И я чуть было не попал на тот корабль.  [Владимир Овчинников. Настоящий экипаж // «Родина», 2011] [омонимия не снята];;;;;;;; ;2011 ;публицистика ,  нехудожественная ;статья ;история, армия и вооруженные конфликты ;2011 
 Провалившись в эти мысли, я ; чуть ;  ;я;Sg;M;1;зацепить;0;0;Past;1;0;0;было не зацепил огромный трейлер ;  Провалившись в эти мысли, я чуть было не зацепил огромный трейлер с флюоресцентной надписью, окруженной разноцветными сердцами:  [Виктор Пелевин. S.N.U.F.F (2011)] [омонимия не снята];;;;;;;;1962 ;2011 ;художественная ;роман ; ;2012 
   В другой раз Некрасов ; чуть ;  ;Некрасов;Sg;M;1;повернуть;0;0;Past;1;но;0;было не повернул вспять не ;  В другой раз Некрасов чуть было не повернул вспять не то, что литературную, но ? политическую историю страны!  [Михаил Размин. Игральные карты в судьбе Некрасова // «Криминальный отдел», 2011] [омонимия не снята];;;;;;;; ;2011 ;публицистика, нехудожественная ;статья ;история, криминал ;2011 
  Наука, ; чуть ;  ;наука;Sg;F;0;онеметь;0;1;Past;0;0;0;было не онемевшая// Знание ? сила ; Наука, чуть было не онемевшая// Знание ? сила, 1991.  [коллективный. Беседа на высоте птичьего полета // «Знание - сила», 2011] [омонимия не снята];;;;;;;; ;2011 ;публицистика ,  нехудожественная ;беседа ;наука и технологии, география, частная жизнь, философия ;2011 
 несколько фильтров: работнику общеобразовательного учреждения (; чуть ;  ;;Sg;M;1;написать;0;0;Past;1;0;0;было не написал школы) ? свой ; [Школа 37]   Для него надо сделать несколько фильтров: работнику общеобразовательного учреждения (чуть было не написал школы) ? свой, работнику вуза ? свой, родителю ? свой и т.д.  [коллективный. Форум: Закон об образовании. Обсуждаем проект (2011)] [омонимия не снята];;;;;;;; ;2011 ;электронная коммуникация, нехудожественная ;форум ;образование ; 
 притчу о богатом купце, который ; чуть ;  ;который (купец);Sg;M;1;утонуть;0;0;Past;2;0;0;было не утонул в арыке ; Вспомните хотя бы восточную притчу о богатом купце, который чуть было не утонул в арыке.  [Николай Богданов. «С природою одною он жизнию дышал...» // «Знание - сила», 2010] [омонимия не снята];;;;;;;; ;2010 ;публицистика ,  нехудожественная ;статья ;история, политика и общественная жизнь, здоровье и медицина ;2010 
 и огромная масса верующего народа ; чуть ;  ;масса верующего народа;Pl;F;?;разорвать;0;0;Past;1;0;0;было не разорвали духовное единство ; В качестве примера реализации такого сценария А. В. Слесарев приводит ситуацию, сложившуюся в Грузинской Православной Церкви в 1997 году, когда практически все монастыри, одна из епархий и огромная масса верующего народа чуть было не разорвали духовное единство со своим Патриархом и не вошли в состав одной из греческих старостильных группировок.  [В. В. Богомольников. Церковное единство и реформа календаря // Журнал Московской Патриархии № 1, 2010, 2010] [омонимия не снята];;;;;;;;1980 ;2010 ;публицистика ,  нехудожественная ;статья ;администрация и управление, религия, политика и общественная жизнь ;2010 
